english_texts,sentiment
"First of all, thank you to the Oneamz family, your help has touched a lot of help and a software that works very meticulously, especially the account manager I’m Nazmi Çalışkan Bey, thank you very much, we are very valuable :):",Positive
"I thank Nazmi Bey, I am very pleased to approach my question with a solution -oriented approach. Thank you very much for the relevance.",Positive
"Hello to me, I would like to thank the Oneamz team, who first fed the Dropshipping business model because of Fatih Bey, and then Nazmi Çalışkan, for his sincere and professional approach.",Positive
"Hello, Zoom Meeting is finished with our Account Manager Nazmi Bey.He answered our questions without getting tired of them one by one.He's doing his job with the same enthusiasm as usual.We are very lucky.Thank you.Dilem Gözde Erkan",Negative
"I thank you to the Simge lady.At the opening of the store and other account settings, it was not convincing in the first place because it was useful in providing sales and providing sales, but I would like to thank all Oneamz for e -trade in the virtual environment.Because of their support for one -to -one interest and sales.I have completed about 2.5 months and I get regular sales.I recommend it to new thinking.You like it as the sale comes.",Positive
Thank you very much for the support and interest you have shown as a team.I wish you continued success..,Positive
"I would like to thank Simge Hanım and İlkay Hanım.I bought it from Annex ** K ***.12 months did not sell and no proper attention.With the reference of Fatih Çoban, I received the Amazon training and software from Oneamz.I was very pleased that İlkay was so sincere and solvent approaching my problem.Thank you.Simge Hanım separated her valuable time.His knowledge and experience are very good.I will recommend it to my immediate surroundings.7/24 answers our questions.Thank you very much.I expect from the Oneamz team: If you open my friend's account that is suspended, you will be a king :)",Positive
"I would like to thank Ada Bey, Simge Hanım, Mrs. Bova for all their support.I would also like to thank Emre Bey for his trainings.I believe that Oneamz is really a very well equipped and solid team.It was a great chance for me to come across you while researching the Amazon.I wish you continued success.Respects.",Positive
Thank you very much for their support to Onur.,Positive
I would like to thank Mr. Onur for getting very good results in a very short time with his support and information.,Positive
It has been 15 days.,Neutral
Thank you to Simge lady really interested with me… I also thank the whole team and Emre Bey…,Positive
Oneamz Team helped us very much about the amazon and without the limit of time.,Positive
Thank you for Simge Hanım's Technical 24/7 service,Neutral
"I would like to thank Ömer Bey and Ada Bey for their support and experienced training.I would like to thank the Simge Hanım, Fatih Bey and Oğuzhan Bey.Mr. Emre, you create very good teams…",Positive
"Oneamz has been 3 months.I would like to thank Kübra from the support team that has done its best to solve my problems quickly without saying both my sales shipments and my account health and all other issues.If you weren't for you, maybe I could have been written differently.Thank you very much.",Positive
"I would like to thank everyone, especially Ömer, to the dear Oneamz team.The information in fast sales training was very valuable.We thank you for adopting the principle of winning together and reflecting it in education.Kind regards",Positive
Oneamz is really successful in search of product.Filters are useful and successful training on YouTube.,Positive
"I always thought of doing a trade in my head, but while I was researching what I should do, I heard the name ”Oneamz” on youtube.I heard well.It is an excellent feeling to advance with a huge team that sincerely shares very valuable information.I would like to thank Ömer Bey -Ada Bey-Fatih Bey-Oğuzhan Bey who gave all kinds of support to Kübra Hanım, who supported me sincerely and sincerely supporting me on this journey.”If you say to trade while sleeping = Oneamz” Oneamz ”is a huge family and I am happy to be in this family.",Positive
Oneamz is really successful in search of product.Filters are useful and successful training on YouTube.I am happy to be oneamz and I am part of this family ..,Positive
VERY SUCCESSFUL,Positive
"I just joined your bee after a lot of quest, I really thank the Oneamz team.There are many people who do not even give the information they give free of charge.Information is valuable.Adds value.In order to reach every information, one actually spends the most valuable capital given to him.Thank you for sharing this value with us.You are good.",Positive
Thanks was very helpful,Positive
"You are very successful, I follow in youtube Oneamz Family",Positive
"Thanks to the Oneamz program, I can find thousands of products with high snow. It is a very easy and easy -to -use program.",Positive
I am preparing to make sales in Amazon by watching your Amazon videos on Youtube.I will definitely start using our software before starting sales.,Neutral
A perfect system with one word.I am very happy to meet Oneamz.,Positive
